fecha,temperaturaMaxima,temperaturaMinima,pluviometro
2023-01-01,35.3,23.0,11.7
2023-01-02,30.6,13.0,0.0
2023-01-03,33.9,13.7,0.0
2023-01-04,33.2,18.0,0.0
2023-01-05,33.6,16.8,0.0
2023-01-06,37.4,17.0,0.0
2023-01-07,36.4,20.2,0.0
2023-01-08,35.4,19.6,0.0
2023-01-09,36.6,21.0,0.0
2023-01-10,38.8,20.9,0.0
2023-01-11,37.5,23.6,0.0
2023-01-12,34.7,18.0,0.6
2023-01-13,32.2,20.9,0.0
2023-01-14,33.6,14.4,0.0
2023-01-15,36.1,18.4,0.0
2023-01-16,38.5,19.5,0.0
2023-01-17,40.1,21.4,0.0
2023-01-18,38.2,23.4,0.0
2023-01-19,39.7,24.9,0.0
2023-01-20,39.4,23.9,13.1
2023-01-21,31.2,21.0,0.0
2023-01-22,35.6,20.8,0.0
2023-01-23,37.3,20.4,0.0
2023-01-24,40.0,19.5,0.0
2023-01-25,29.0,24.6,5.0
2023-01-26,34.8,21.3,0.0
2023-01-27,37.4,16.8,6.3
2023-01-28,34.6,21.4,0.0
2023-01-29,35.3,22.8,0.0
2023-01-30,35.6,19.1,0.0
2023-01-31,37.6,17.5,0.0
2023-02-01,38.0,20.5,0.0
2023-02-02,30.4,12.0,0.9
2023-02-03,30.8,12.8,0.0
2023-02-04,31.4,12.0,0.0
2023-02-05,33.4,12.0,0.0
2023-02-06,36.5,14.1,0.0
2023-02-07,39.6,16.8,0.0
2023-02-08,39.3,24.0,16.9
2023-02-09,33.4,19.2,0.0
2023-02-10,37.6,20.2,0.0
2023-02-11,39.8,25.0,0.0
2023-02-12,39.7,24.8,0.0
2023-02-13,38.9,26.1,0.0
2023-02-14,30.4,22.9,22.4
2023-02-15,34.2,19.0,4.0
2023-02-16,29.8,20.1,5.5
2023-02-17,26.2,11.0,0.0
2023-02-18,24.2,9.0,0.0
2023-02-19,28.4,7.4,0.0
2023-02-20,31.8,11.8,0.0
2023-02-21,34.5,19.0,0.0
2023-02-22,30.8,20.0,0.0
2023-02-23,33.9,22.3,0.0
2023-02-24,31.4,20.5,0.0
2023-02-25,34.6,19.0,0.0
2023-02-26,36.6,17.4,0.5
2023-02-27,36.9,16.1,0.0
2023-02-28,36.9,21.2,0.0
2023-03-01,37.6,20.8,9.5
2023-03-02,32.2,22.1,0.0
2023-03-03,33.4,21.9,3.4
2023-03-04,35.2,21.0,0.0
2023-03-05,36.1,20.4,0.0
2023-03-06,34.8,20.3,0.0
2023-03-07,35.1,18.5,0.0
2023-03-08,37.9,19.4,0.0
2023-03-09,38.1,19.9,0.0
2023-03-10,38.4,24.6,0.0
2023-03-11,39.6,24.6,0.0
2023-03-12,39.1,23.6,0.0
2023-03-13,38.2,23.9,0.0
