fecha,temperaturaMaxima,temperaturaMinima,pluviometro
2023-01-01,35.8,17.6,0.0
2023-01-02,29.2,20.0,0.0
2023-01-03,32.9,11.6,0.0
2023-01-04,30.7,14.3,0.0
2023-01-05,31.5,10.6,0.0
2023-01-06,30.9,14.0,0.0
2023-01-07,30.3,16.6,0.0
2023-01-08,31.0,17.2,0.0
2023-01-09,31.0,14.2,0.0
2023-01-10,32.2,18.2,0.0
2023-01-11,34.6,19.0,0.0
2023-01-12,32.6,18.1,0.0
2023-01-13,25.8,17.9,0.0
2023-01-14,32.9,13.5,0.0
2023-01-15,35.0,13.9,0.0
2023-01-16,34.8,14.4,0.0
2023-01-17,32.2,15.4,0.0
2023-01-18,31.7,17.3,0.0
2023-01-19,30.5,19.2,0.0
2023-01-20,32.6,18.9,0.0
2023-01-21,34.0,22.5,0.0
2023-01-22,36.4,18.1,0.0
2023-01-23,35.5,17.4,0.0
2023-01-24,34.6,12.6,0.0
2023-01-25,36.2,17.2,1.4
2023-01-26,32.4,22.4,1.0
2023-01-27,36.5,19.4,1.1
2023-01-28,29.2,23.0,4.1
2023-01-29,30.6,20.1,0.0
2023-01-30,36.2,18.4,0.0
2023-01-31,33.2,19.0,0.0
2023-02-01,33.6,18.2,0.0
2023-02-02,27.8,19.2,0.5
2023-02-03,26.4,19.7,1.8
2023-02-04,29.1,17.1,0.0
2023-02-05,31.2,18.9,0.0
2023-02-06,34.6,14.4,0.0
2023-02-07,35.6,13.8,0.0
2023-02-08,32.2,18.8,3.8
2023-02-09,34.0,17.4,0.0
2023-02-10,36.6,18.0,0.0
2023-02-11,38.4,19.6,0.0
2023-02-12,39.4,18.6,0.0
2023-02-13,39.8,18.4,7.0
2023-02-14,34.4,20.6,0.0
2023-02-15,29.2,18.0,0.0
2023-02-16,32.2,17.4,17.0
2023-02-17,32.2,12.4,0.0
2023-02-18,23.4,9.4,0.0
2023-02-19,25.6,6.8,0.0
2023-02-20,28.0,6.6,0.0
2023-02-21,30.2,6.4,0.0
2023-02-22,30.0,16.4,0.0
2023-02-23,30.4,14.0,0.0
2023-02-24,26.9,19.9,5.2
2023-02-25,31.0,18.8,1.4
2023-02-26,33.2,17.2,0.0
2023-02-27,29.0,22.0,0.0
2023-02-28,34.8,19.0,0.8
2023-03-01,33.9,19.3,0.0
2023-03-02,35.0,19.2,0.0
2023-03-03,30.3,21.1,5.3
2023-03-04,30.3,21.1,0.0
2023-03-05,30.4,17.9,0.0
2023-03-06,30.4,13.0,0.0
2023-03-07,30.3,22.0,0.0
2023-03-08,32.0,22.2,0.0
2023-03-09,31.4,19.7,0.0
2023-03-10,33.5,16.3,0.0
2023-03-11,35.9,20.9,0.0
2023-03-12,32.6,21.7,0.0
2023-03-13,33.4,21.6,0.0
2023-03-14,34.4,22.0,0.0
2023-03-15,32.9,22.9,38.7
2023-03-16,28.5,21.4,30.2
2023-03-17,28.2,21.9,15.5
2023-03-18,29.4,21.7,0.0
2023-03-19,32.2,21.9,23.0
2023-03-20,26.2,20.4,0.0
2023-03-21,25.0,15.2,0.0
2023-03-22,24.4,15.1,1.1
2023-03-23,27.2,20.4,0.0
2023-03-24,28.0,19.9,0.0
2023-03-25,22.9,20.7,22.5
2023-03-26,25.8,18.2,0.0
2023-03-27,25.0,12.0,0.0
2023-03-28,27.5,13.8,0.0
2023-03-29,31.8,16.0,20.6
2023-03-30,23.6,17.9,0.8
2023-03-31,25.9,19.2,31.5
2023-04-01,23.2,10.1,0.0
2023-04-02,25.2,9.6,0.0
2023-04-03,22.0,15.2,0.4
2023-04-04,23.8,15.0,0.0
2023-04-05,24.0,11.7,0.0
2023-04-06,24.2,11.3,0.0
2023-04-07,24.2,10.0,0.0
2023-04-08,26.2,9.8,0.0
2023-04-09,26.2,9.8,0.0
2023-04-10,27.6,16.8,0.0
2023-04-11,29.0,17.4,1.0
2023-04-12,27.5,17.4,1.6
2023-04-13,21.4,10.4,0.0
2023-04-14,20.4,7.1,0.0
2023-04-15,20.1,5.5,0.0
2023-04-16,19.2,12.3,0.0
2023-04-17,21.2,12.8,0.0
2023-04-18,20.6,6.8,0.0
2023-04-19,17.9,8.2,0.0
2023-04-20,21.4,6.7,0.0
2023-04-21,23.4,6.0,0.0
2023-04-22,26.0,7.5,0.0
2023-04-23,25.2,12.8,0.0
2023-04-24,26.2,15.6,11.8
2023-04-25,24.9,19.4,5.0
2023-04-26,23.1,14.3,1.8
2023-04-27,24.2,13.3,0.0
2023-04-28,27.1,11.2,0.0
2023-04-29,27.0,9.5,0.0
2023-04-30,29.2,11.1,1.7
2023-05-01,21.0,14.9,0.0
2023-05-02,19.0,8.2,0.0
2023-05-03,22.3,4.3,22.3
2023-05-04,22.9,8.3,0.0
2023-05-05,28.5,15.8,18.0
2023-05-06,22.6,17.0,2.0
2023-05-07,19.8,17.0,0.0
2023-05-08,20.0,11.6,0.0
2023-05-09,20.5,9.0,0.0
2023-05-10,20.2,6.8,0.0
2023-05-11,20.4,6.1,0.0
2023-05-12,20.3,4.6,0.0
2023-05-13,22.7,8.0,0.0
2023-05-14,24.0,5.5,0.0
2023-05-15,24.6,10.2,0.0
2023-05-16,21.4,6.4,0.0
2023-05-17,22.6,7.0,0.0
2023-05-18,26.5,8.9,0.0
2023-05-19,18.6,9.5,0.4
2023-05-20,18.9,17.5,0.0
2023-05-21,21.2,13.9,0.0
2023-05-22,20.6,15.6,0.0
2023-05-23,25.6,10.0,0.0
2023-05-24,25.6,15.1,0.0
2023-05-25,27.6,16.5,0.0
2023-05-26,23.3,16.4,21.6
2023-05-27,19.4,9.5,0.0
2023-05-28,15.4,2.7,0.0
2023-05-29,15.4,2.4,0.0
2023-05-30,18.7,3.6,0.0
2023-05-31,16.3,7.9,1.0
2023-06-01,23.4,11.2,0.0
2023-06-02,25.2,8.8,0.0
2023-06-03,25.8,11.9,0.0
2023-06-04,21.4,15.4,0.0
2023-06-05,16.2,4.0,0.0
2023-06-06,21.5,4.2,0.3
2023-06-07,20.6,14.9,1.4
2023-06-08,25.8,16.4,1.9
2023-06-09,23.6,15.5,0.0
2023-06-10,16.5,10.5,0.0
2023-06-11,12.4,7.4,0.0
2023-06-12,12.5,0.0,0.0
2023-06-13,14.8,0.6,0.0
2023-06-14,15.9,-1.9,0.0
2023-06-15,17.2,-1.0,0.0
2023-06-16,17.4,6.5,0.0
2023-06-17,14.9,2.5,0.0
2023-06-18,14.4,0.7,0.0
2023-06-19,14.2,-2.4,0.0
2023-06-20,19.2,8.0,0.0
2023-06-21,19.2,12.7,3.8
2023-06-22,15.2,8.5,0.0
2023-06-23,19.2,9.7,0.0
2023-06-24,19.9,10.7,6.5
2023-06-25,18.4,12.5,0.0
2023-06-26,19.4,9.6,20.0
2023-06-27,14.2,11.0,11.9
2023-06-28,16.0,10.3,0.0
2023-06-29,15.2,3.2,0.0
2023-06-30,14.0,1.0,0.0
2023-07-01,18.2,2.6,0.0
2023-07-02,18.6,2.8,0.0
2023-07-03,20.6,2.6,0.0
2023-07-04,25.4,8.4,22.5
2023-07-05,21.2,9.8,23.9
2023-07-06,16.0,14.8,18.4
2023-07-07,17.2,10.6,0.0
2023-07-08,18.8,17.2,0.0
2023-07-09,19.2,13.8,0.0
2023-07-10,16.2,8.6,0.0
2023-07-11,13.6,4.4,0.0
2023-07-12,13.4,8.0,46.8
2023-07-13,11.9,9.6,0.3
2023-07-14,12.8,1.6,0.0
2023-07-15,12.3,-0.1,0.0
2023-07-16,13.0,3.1,0.0
2023-07-17,11.1,1.2,0.0
2023-07-18,12.4,-0.8,0.0
2023-07-19,14.2,-2.8,0.0
2023-07-20,17.2,6.1,0.7
2023-07-21,28.4,11.9,0.0
2023-07-22,27.3,17.9,0.0
2023-07-23,18.4,13.7,5.7
2023-07-24,15.4,8.4,17.4
2023-07-25,17.9,9.4,25.0
2023-07-26,16.3,13.5,0.0
2023-07-27,14.0,5.9,0.0
2023-07-28,15.0,4.9,0.0
2023-07-29,14.8,1.5,0.0
2023-07-30,19.4,3.3,0.0
2023-07-31,21.2,5.0,0.0
2023-08-01,27.2,6.2,0.0
2023-08-02,28.8,11.9,0.0
2023-08-03,14.6,10.7,0.0
2023-08-04,18.5,7.9,0.0
2023-08-05,17.4,0.3,0.0
2023-08-06,26.2,10.9,0.0
2023-08-07,12.6,8.4,0.0
2023-08-08,17.2,0.4,0.0
2023-08-09,18.3,7.5,0.0
2023-08-10,18.2,13.8,0.0
2023-08-11,21.2,13.5,0.0
2023-08-12,14.2,3.8,0.0
2023-08-13,14.2,-0.3,0.0
2023-08-14,21.4,3.0,0.0
2023-08-15,25.8,6.2,0.0
2023-08-16,29.1,11.8,0.0
2023-08-17,18.6,15.1,54.5
2023-08-18,17.4,14.3,7.2
2023-08-19,16.4,4.3,0.0
2023-08-20,15.8,7.9,0.0
2023-08-21,17.6,2.6,25.0
2023-08-22,21.6,11.6,0.0
2023-08-23,18.4,5.7,0.0
2023-08-24,17.3,6.9,0.0
2023-08-25,18.2,1.5,0.0
2023-08-26,15.4,-0.1,0.0
2023-08-27,13.4,-1.1,0.0
2023-08-28,15.5,-1.2,0.0
2023-08-29,17.2,1.8,0.0
2023-08-30,22.9,5.9,0.0
2023-08-31,20.9,6.5,0.0
2023-09-01,20.4,4.9,0.4
2023-09-02,20.9,14.9,1.4
2023-09-03,15.8,12.9,26.5
2023-09-04,13.8,13.2,0.0
2023-09-05,15.1,4.2,0.0
2023-09-06,16.5,2.4,35.4
2023-09-07,16.2,12.9,44.7
2023-09-08,17.6,13.3,0.0
2023-09-09,20.0,6.5,0.0
2023-09-10,18.4,9.6,0.0
2023-09-11,22.4,14.0,47.4
2023-09-12,15.4,10.8,15.5
2023-09-13,13.0,8.1,0.0
2023-09-14,17.6,5.9,0.0
2023-09-15,21.8,5.9,0.0
2023-09-16,27.4,11.3,0.0
2023-09-17,23.8,10.3,19.0
2023-09-18,22.6,12.6,8.0
2023-09-19,23.3,13.0,3.5
2023-09-20,18.6,14.1,7.5
2023-09-21,25.4,15.2,0.0
2023-09-22,18.2,14.6,0.0
2023-09-23,20.5,11.8,1.8
2023-09-24,18.6,13.9,0.0
2023-09-25,17.4,6.6,0.0
2023-09-26,16.8,10.0,0.4
2023-09-27,18.0,8.0,0.0
2023-09-28,19.8,5.0,0.0
2023-09-29,22.9,10.2,0.0
2023-09-30,17.9,10.1,0.0
2023-10-01,19.4,3.9,0.0
2023-10-02,19.8,5.4,0.0
2023-10-03,21.6,7.4,0.4
2023-10-04,21.4,14.0,0.0
2023-10-05,21.8,6.0,0.0
2023-10-06,26.9,6.8,0.0
2023-10-07,22.2,8.9,0.0
2023-10-08,23.8,5.5,0.0
2023-10-09,25.8,5.4,0.0
2023-10-10,27.7,9.8,0.0
2023-10-11,21.4,12.9,1.6
2023-10-12,16.0,0.8,0.0
2023-10-13,19.9,-0.1,0.0
2023-10-14,21.9,1.7,0.0
2023-10-15,23.8,10.1,0.0
2023-10-16,25.2,17.4,0.0
2023-10-17,20.0,12.4,0.0
2023-10-18,20.4,2.6,0.0
2023-10-19,22.2,8.8,0.0
2023-10-20,24.0,10.2,0.0
2023-10-21,25.8,12.8,9.2
2023-10-22,22.2,17.9,30.4
2023-10-23,25.6,18.0,27.8
2023-10-24,23.8,17.0,0.0
2023-10-25,21.8,9.0,0.0
2023-10-26,21.6,6.4,0.0
2023-10-27,23.4,7.2,2.5
2023-10-28,25.4,14.9,0.0
2023-10-29,31.0,17.1,0.0
2023-10-30,20.2,19.0,1.7
2023-10-31,14.4,12.2,13.1
